outcome,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,dataset
outcome_binary,nervousness_mean,48,0.1906,0.1944,0.1309,0.375,0.1906,dealerships
outcome_binary,desire_first,48,-0.1899,0.1961,-0.3206,0.0263,0.1899,dealerships
outcome_binary,realization_min,48,-0.1893,0.1976,-0.1039,0.4824,0.1893,dealerships
outcome_binary,gratitude_max,48,0.1891,0.1981,0.1912,0.1931,0.1891,dealerships
outcome_binary,joy_min,48,-0.1885,0.1993,-0.1641,0.2652,0.1885,dealerships
outcome_binary,nervousness_early_mean,48,0.1863,0.2048,0.1851,0.2078,0.1863,dealerships
outcome_binary,embarrassment_std,48,0.1853,0.2073,0.1912,0.1931,0.1853,dealerships
outcome_binary,fear_max,48,0.1845,0.2093,0.1159,0.4328,0.1845,dealerships
outcome_binary,disgust_last,48,-0.1802,0.2203,-0.0647,0.6621,0.1802,dealerships
outcome_binary,optimism_late_mean,48,-0.1799,0.2211,-0.0467,0.7528,0.1799,dealerships
outcome_binary,curiosity_late_mean,48,0.1788,0.2241,0.1972,0.1792,0.1788,dealerships
outcome_binary,grief_last,48,-0.1764,0.2303,-0.0677,0.6474,0.1764,dealerships
outcome_binary,excitement_buyer_minus_seller_mean,48,-0.1749,0.2343,-0.3507,0.0145,0.1749,dealerships
outcome_binary,sadness_std,48,0.1748,0.2347,0.2453,0.0928,0.1748,dealerships
outcome_binary,confusion_late_mean,48,-0.1745,0.2356,-0.0346,0.8153,0.1745,dealerships
outcome_binary,amusement_buyer_minus_seller_mean,48,0.1743,0.236,-0.1008,0.4952,0.1743,dealerships
outcome_binary,excitement_late_mean,48,0.1734,0.2386,0.2243,0.1254,0.1734,dealerships
outcome_binary,approval_late_mean,48,0.1725,0.2412,0.152,0.3023,0.1725,dealerships
outcome_binary,optimism_early_mean,48,-0.1723,0.2414,0.0828,0.5759,0.1723,dealerships
outcome_binary,pride_mean,48,0.1718,0.2429,0.152,0.3023,0.1718,dealerships
outcome_binary,embarrassment_delta,48,-0.1716,0.2434,-0.1159,0.4328,0.1716,dealerships
outcome_binary,fear_std,48,0.1714,0.2442,0.0286,0.847,0.1714,dealerships
outcome_binary,anger_max,48,0.1705,0.2467,0.1881,0.2003,0.1705,dealerships
outcome_binary,disgust_late_minus_early,48,0.1703,0.2473,-0.0406,0.7839,0.1703,dealerships
outcome_binary,relief_late_minus_early,48,-0.1698,0.2487,-0.155,0.2927,0.1698,dealerships
outcome_binary,caring_last,48,-0.1686,0.2519,-0.152,0.3023,0.1686,dealerships
outcome_binary,disapproval_last,48,-0.1683,0.2527,-0.3146,0.0294,0.1683,dealerships
outcome_binary,remorse_last,48,-0.1681,0.2535,-0.1731,0.2394,0.1681,dealerships
outcome_binary,remorse_mean,48,0.1655,0.261,0.1309,0.375,0.1655,dealerships
outcome_binary,grief_delta,48,-0.1647,0.2632,0.0798,0.5899,0.1647,dealerships
outcome_binary,optimism_std,48,-0.162,0.2714,-0.1219,0.4091,0.162,dealerships
outcome_binary,curiosity_last,48,-0.1618,0.2719,-0.2243,0.1254,0.1618,dealerships
outcome_binary,relief_min,48,-0.1602,0.2768,-0.2965,0.0407,0.1602,dealerships
outcome_binary,curiosity_early_mean,48,0.16,0.2774,0.143,0.3323,0.16,dealerships
outcome_binary,approval_max,48,0.1591,0.28,0.0707,0.6328,0.1591,dealerships
outcome_binary,disapproval_first,48,-0.1576,0.2846,-0.137,0.3532,0.1576,dealerships
outcome_binary,caring_early_mean,48,-0.1567,0.2874,-0.0346,0.8153,0.1567,dealerships
outcome_binary,disgust_buyer_minus_seller_mean,48,-0.1562,0.289,-0.2754,0.0581,0.1562,dealerships
outcome_binary,love_late_minus_early,48,0.1557,0.2907,0.1701,0.2478,0.1557,dealerships
outcome_binary,excitement_mean,48,0.1553,0.292,0.2243,0.1254,0.1553,dealerships
outcome_binary,admiration_first,48,-0.1552,0.2923,0.0647,0.6621,0.1552,dealerships
outcome_binary,grief_std,48,0.1534,0.298,0.2423,0.097,0.1534,dealerships
outcome_binary,anger_last,48,-0.1527,0.3001,-0.0346,0.8153,0.1527,dealerships
outcome_binary,love_delta,48,0.1527,0.3001,0.152,0.3023,0.1527,dealerships
outcome_binary,relief_first,48,0.1526,0.3005,0.1881,0.2003,0.1526,dealerships
outcome_binary,annoyance_last,48,-0.1492,0.3115,-0.0226,0.8789,0.1492,dealerships
outcome_binary,remorse_delta,48,-0.1488,0.3129,-0.0738,0.6184,0.1488,dealerships
outcome_binary,sadness_last,48,-0.1465,0.3205,-0.0286,0.847,0.1465,dealerships
outcome_binary,love_last,48,0.1461,0.3217,0.0376,0.7996,0.1461,dealerships
outcome_binary,surprise_early_mean,48,0.1445,0.3271,0.1791,0.2232,0.1445,dealerships
outcome_binary,surprise_last,48,0.144,0.3287,-0.2514,0.0848,0.144,dealerships
outcome_binary,disappointment_last,48,-0.1431,0.332,-0.0948,0.5215,0.1431,dealerships
outcome_binary,amusement_late_minus_early,48,-0.1429,0.3324,0.0316,0.8311,0.1429,dealerships
outcome_binary,fear_mean,48,0.1426,0.3335,-0.0888,0.5484,0.1426,dealerships
outcome_binary,anger_std,48,0.1421,0.3355,0.1069,0.4697,0.1421,dealerships
outcome_binary,annoyance_first,48,-0.1408,0.3396,-0.3116,0.0311,0.1408,dealerships
outcome_binary,anger_delta,48,-0.1407,0.3402,0.0738,0.6184,0.1407,dealerships
outcome_binary,sadness_delta,48,-0.1406,0.3406,0.0557,0.7069,0.1406,dealerships
outcome_binary,fear_last,48,-0.1404,0.3411,-0.1881,0.2003,0.1404,dealerships
outcome_binary,disgust_late_mean,48,0.1401,0.3422,-0.152,0.3023,0.1401,dealerships
outcome_binary,amusement_delta,48,0.1396,0.3438,-0.0346,0.8153,0.1396,dealerships
outcome_binary,fear_first,48,-0.1394,0.3447,-0.1972,0.1792,0.1394,dealerships
outcome_binary,gratitude_late_minus_early,48,-0.1389,0.3464,-0.0978,0.5083,0.1389,dealerships
outcome_binary,nervousness_buyer_minus_seller_mean,48,-0.1386,0.3475,-0.1942,0.186,0.1386,dealerships
outcome_binary,fear_early_mean,48,0.1378,0.3502,-0.134,0.364,0.1378,dealerships
outcome_binary,caring_mean,48,-0.1376,0.3512,-0.0647,0.6621,0.1376,dealerships
outcome_binary,relief_early_mean,48,0.1367,0.3541,0.2393,0.1014,0.1367,dealerships
outcome_binary,desire_delta,48,0.1361,0.3562,0.2905,0.0452,0.1361,dealerships
outcome_binary,amusement_first,48,-0.1354,0.3589,0.0256,0.8629,0.1354,dealerships
outcome_binary,optimism_mean,48,-0.1353,0.3592,-0.0918,0.5348,0.1353,dealerships
outcome_binary,relief_max,48,0.1348,0.3611,0.0948,0.5215,0.1348,dealerships
outcome_binary,disgust_early_mean,48,-0.1346,0.3616,0.0015,0.9919,0.1346,dealerships
